42,0,0,0,0
5074,0,1,2,0
28993,13,22,30,0
1881,0,0,0,0
4070,0,1,1,0
4580,0,1,1,0
105,0,0,0,0
3363,0,0,1,0
5372,0,1,2,0
4019,0,1,1,0
22134,8,14,20,0
10172,2,4,6,0
137,0,0,0,0
3624,0,0,1,0
2379,0,0,0,0
2405,0,0,0,0
845,0,0,0,0
700,0,0,0,0
479,0,0,0,0
365,0,0,0,0
6022,1,1,2,0
21832,8,14,19,0
22435,8,14,20,0
23377,9,15,22,0
19242,6,11,16,0
2716,0,0,0,0
602,0,0,0,0
2116,0,0,0,0
11635,3,5,7,0
28639,12,21,30,0
702,0,0,0,0
8856,2,3,4,0
9043,2,3,4,0
3518,0,0,1,0
265,0,0,0,0
638,0,0,0,0
3377,0,0,1,0
24490,10,16,23,0
29071,13,22,31,0
1110,0,0,0,0
108,0,0,0,0
736,0,0,0,0
289,0,0,0,0
3800,0,0,1,0
9828,2,4,5,0
9603,2,3,5,0
4445,0,1,1,0
1207,0,0,0,0
617,0,0,0,0
9677,2,3,5,0
28477,12,21,30,0
1699,0,0,0,0
1184,0,0,0,0
1319,0,0,0,0
975,0,0,0,0
626,0,0,0,0
596,0,0,0,0
653,0,0,0,0
815,0,0,0,0
1231,0,0,0,0
1298,0,0,0,0
1225,0,0,0,0
6532,1,2,2,0
11470,3,5,7,0
33888,16,28,39,0
22176,8,14,20,0
13125,3,6,8,0
1715,0,0,0,0
1531,0,0,0,0
165,0,0,0,38
1269,0,0,0,0
7744,1,2,3,0
0,0,0,0,727
0,0,0,0,1719
2,0,0,0,1474
1612,0,0,0,0
1177,0,0,0,0
92,0,0,0,3
6554,1,2,3,0
29,0,0,0,239
1044,0,0,0,0
2775,0,0,0,0
3169,0,0,0,0
9632,2,3,5,0
12313,3,5,8,0
1436,0,0,0,0
10687,2,4,6,0
13419,3,6,9,0
29546,13,22,31,0
8695,2,3,4,0
839,0,0,0,0
8645,1,3,4,0
583,0,0,0,0
200,0,0,0,0
1,0,0,0,0
45,0,0,0,0
2710,0,0,0,0
6567,1,2,2,0
21230,8,13,19,0
21682,8,13,19,0
754,0,0,0,0
9904,2,4,5,0
0,0,0,0,502
16679,5,9,13,0
0,0,0,0,1996
0,0,0,0,1319
0,0,0,0,6
0,0,0,0,0
0,0,0,0,0
667,0,0,0,0
6687,1,2,3,0
1024,0,0,0,0
0,0,0,0,0
1941,0,0,0,0
6962,1,2,3,0
339,0,0,0,0
387,0,0,0,0
0,0,0,0,0
11,0,0,0,0
13,0,0,0,0
15,0,0,0,0
38,0,0,0,0
18,0,0,0,0
0,0,0,0,0
0,0,0,0,1715
0,0,0,0,2005
2140,0,0,0,0
33061,16,27,37,0
32676,15,26,37,0
31,0,0,0,0
102,0,0,0,30
4428,0,1,1,0
1995,0,0,0,0
109,0,0,0,95
124,0,0,0,92
5391,0,1,2,0
132,0,0,0,77
10,0,0,0,0
0,0,0,0,699
0,0,0,0,1252
893,0,0,0,0
845,0,0,0,0
282,0,0,0,0
10305,2,4,6,0
26631,11,19,27,0
39580,21,35,50,0
274,0,0,0,0
242,0,0,0,0
2,0,0,0,0
3337,0,0,1,0
3734,0,0,1,0
31511,14,25,35,0
3675,0,0,1,0
2908,0,0,0,0
86,0,0,0,0
747,0,0,0,0
1156,0,0,0,0
959,0,0,0,0
2657,0,0,0,0
16261,5,8,12,0
5134,0,1,2,0
5586,1,1,2,0
21608,8,13,19,0
6822,1,2,3,0
22,0,0,0,0
26,0,0,0,0
17113,5,9,13,0
6757,1,2,3,0
